1 NAME|2 ROOM|3 IP|4 OS|5 OS version|6 CATEGORY|7 OWNER|8 AUTHORITY|9 BARCODE|10 DESCRIPTION|11 SPARE1|12 SERIAL NUMBER|13 HOSTID|14 HOST STATUS|15 INVENTORY STATUS|16 FIREWALL|17 TRUSTLEVEL|18 RACKINFO|19 POWER UP|20 SUPPORT TEAM|21 UUID|22 COMMENTS
3bng7x2|CSC265|129.128.159.245|dual-boot|Win10 Ubuntu 18||yang|yang||XPS 8930 i7-8700 32GB||7234862870||NOP|active|OK|||5||0bac65f7-c311-4c93-bc01-9e3fc12e9c0c|
586239-cs|idk||Windows|8.1 Enterprise|laptop|yang|yang|586239|Core i7 4500U @ 1.8 GHz, 8 GB, 1 TB||QB08009497||CLEAN|active|OK|||5||55989164-a114-4fbe-894e-9555e4f3a57f|On UWS
604047-cs|CSC247||Windows|7 Enterprise|laptop|ackerl|ackerl|604047|ThinkPad T410i, Core i3 M370 @ 2.4 GHz, 4 GB, 250 GB||R8-B2F4M||CLEAN|active|OK|||5||18d4a46c-4ff5-4a7b-b2c9-beb9f8996b48|On UWS
abyssus|CSC351|129.128.184.23|Linux|Ubuntu 14.04|regular||athess||||||NOP|active||||5||5bcd3f17-f85c-4d68-b899-baba1cc065cd|
acme|CSC205||Linux|Ubuntu 14.04|regular||hasell,zaiane|543298|Q9400/2.66-8192||1FS5WK1||NOP|active||||5||0d7a06cc-62c6-4304-80ab-23494cac630f|On NAT
adair-crk|CSC217|129.128.184.8|Linux|Ubuntu 16.04|regular|hayward|hayward|604055|i7-6700/GTX1080,32GB RAM, 1 TB HDD||106516329701||NOP|active||||5||b3dbb0da-6b32-4e43-a628-a3b80d8a0e65|
admin-fw1-inside|admin-fw1|129.128.16.252|OpenBSD|4.5|alias|dept|tst||||||CLEAN|active||T||5||2151bbc7-02a8-4d43-bcec-b6a0fb0fe69e|internal interface
admin-fw1|CSC231|129.128.22.241|OpenBSD|4.5|regular|dept|tst||Dell PE 850 P4 80547/2.66GHz-512||F0YQN91||CLEAN|retired||T|B|5||8dbc11aa-348a-4936-9830-37d8a78cd52e|TST managed server
admin-fw2-inside|admin-fw2|129.128.16.253|OpenBSD|4.5|alias|dept|tst||||||CLEAN|active||T||5||aa494ca9-22c9-4d89-8955-48343691522e|internal interface
admin-fw2|CSC231|129.128.22.242|OpenBSD|4.5|regular|dept|tst||Dell PE 850 P4 80547/2.66GHz-512||B0YQN91||CLEAN|retired||T|B|5||e49f0275-cd6d-4773-a09c-8a01c29be144|TST managed server
admin-fw|CSC231|129.128.22.240|||public carp||tst||Dell PE 850 P4 80547/2.66GHz-512||floating||NA|floater||||5||79c149af-84f0-467c-8dfb-a82ce01f8d87|
ahs3|CSC205|129.128.184.33|Linux||regular|ackerl|jiaji,jharder1||||||NOP|active||||5||c19e413a-729b-4f96-8d5f-3525a485294c|same machine as aicml3
aicml2|CSC205|129.128.184.32|Linux|Ubuntu|regular||hasell,zaiane||||||NOP|active||||5||b2f25721-7386-4af1-9b1d-67d41586aa72|On WW
aicml10|CSC205|129.128.184.97|Linux|Ubuntu|regular||hasell|||||||active||||5||35f069b7-0787-4c9c-8d66-9e4e614f1a3e|On WW
aicml-med|CSC205|129.128.184.29|Linux|Ubuntu|regular||hasell,zaiane|505406|Core2/6600/2.4-2048||14027046P3||NOP|active||||5||6d460cb3-786a-4a83-9abf-27a7e3b02e25|On WW
aicml-poker|CSC211||Linux|Ubuntu|regular||hasell,zaiane||AMD/MP2400-2048||ACS04006||NOP|retired||||5||a0fba621-7a0e-466d-9e95-f3d678db24e3|Surplussed -TASK0193966
amii-prn|CSC247|129.128.23.177|||printer|roik|zaiane||HP MFP M426fdn||||CLEAN|active|OK|||5||2335c343-91ec-4e5a-a8f7-c21d6031367a|
amii-prn2|CSC247|129.128.23.14|||printer|roik|zaiane||Brother HL-5470DW||||CLEAN|active|OK|||5||973a3790-0f07-4220-9d99-b09f30ee701a|
aicml-srv|CSC247|129.128.184.30|||regular||hasell,zaiane|586258|i7-4771/3.50GHz-16384||14197553P||NOP|active||||5||49988b17-bb87-4af8-a406-79c00c595317|New Server #1093010
airdrie|ATH206|129.128.23.32|Windows|7|regular||hasell,zaiane|543290|Q9400/2.66-8192||2FS5WK1||CLEAN|active|OK|||5||015f1568-7524-4333-9eec-e864e6d240a7|
akasu-lk|ATH441||MacOS|10.8|regular|mn|dept|586224|iMac 21.5 A1418||C02JXRCXDNCR||CLEAN|active|OK|||5||137b3ead-dcfa-438e-9bf8-37e097a77589|On NAT
akenside|CSC247|129.128.16.176|Windows|XP Pro 5.1.2600|regular|balaski|zaiane|461635|AMD/XP3200-2048||ACS04496||CLEAN|active|OK|||5||439e6b0e-a2d8-4dce-8d81-40372f34e4bd|Admin-Zone
akuinu-riv|CSC205||Windows|7|regular|ackerl|zaiane||AMD/PN/710x3-8192||ACS06970||CLEAN|active||||5||12a7ab85-f869-4b67-96e1-95d96b580910|Not Tagged/On NAT
alcurve|ATH342||MacOS|10.8|regular|mn|dept|586225|iMac 21.5 A1418||C02JXD3QDNCR||CLEAN|active|OK|||5||be8ba6d5-9f19-4aee-a60c-b4d12b0d72f5|On NAT
alder-flats|CSC205|129.128.23.173|||regular||zaiane|473419|E6550-2048||C7L1TF1|||spare||||5||0a525485-e194-49ec-ba49-2d19ea3b8fb0|Disk wiped, awaiting retasking
algar-lake|CCIS1083|129.128.16.196|MacOS|10.8|regular|dept|dept|586226|iMac 21.5 A1418||C02JXRFLDNCR||CLEAN|active|OK|||5||072c3ac8-9566-40fd-ada1-7e419b7c0f01|Used by Carol Smith in the Fac Sci office (approved by the Chair).
alhambra|ATH241|129.128.16.160|Windows|XP Pro|regular||dept,dchoi|527279|Dell OptiPlex 755:Core2/2.66-2048||ACS03576||CLEAN|active||||5||6c1cb62b-50f5-49ed-88fb-9bdb9ff26d68|
alix|ATH220|129.128.16.197|MacOS|10.8|regular|dept|dept|586227|iMac 21.5 A1418||C02JXFX2DNCR||CLEAN|spare|OK|||5||15882fa1-a057-4d35-80c2-f51cf59c3d8f|
alliance|ATH252B|129.128.16.161|Windows|XP Pro|regular||dept,jsheppar|527273|Dell OptiPlex 755:Core2/2.66-2048||ACS03577||CLEAN|active||||5||2cd82749-a6b6-4332-8dad-1f053184c4c8|RDP
alpen|CSC315|129.128.22.56||||||||||||spare||||||3de7b87c-e1df-4c11-a8bc-f54781ce9347|
alsike|ATH304||MacOS|10.8|regular|mn|dept|586228|iMac 21.5 A1418||C02JXRE8DNCR||CLEAN|active|OK|||5||1c00c880-5591-4469-be23-f2e28218078c|On NAT
altario|ATH233|129.128.16.162|Windows|XP Pro|regular||dept,britta|527277|Dell OptiPlex 755||||CLEAN|active||||5||9a40cca8-a5a9-44f3-871c-73ff68ecce2b|
amadou|ATH252A|129.128.16.172|Windows|XP Pro|regular||dept||Dell OptiPlex 755:Core2/2.66-2048||ACS03580||CLEAN|active||||5||62481170-c84c-4a1e-a1c9-18400bca1af9|
amber-rv|CSC205|129.128.23.182|Linux|Ubuntu 14.04|regular||hasell,zaiane|543288|Q9400/2.66-8192||6FS5WK1||CLEAN|spare||||5||ae1d16f1-8f0d-43de-8093-8337b8ccdc2c|Not currently in service.
amelia|Off Campus||MacOS|10.8|regular|dept|sunrose|586220|iMac 21.5 A1418||C02JXREBDNCR||CLEAN|active|OK|||5||01477cec-6663-482e-ab36-3740b2742470|Used by Sunrose Ko at her home (approved by the Chair).
amii-laptop01|CSC247||Windows|10 Education|laptop|zaiane|zaiane||Core i7 6700HQ @ 2.6 GHz, 8 GB, 1 TB||PF0GQRFZ||CLEAN|active|OK|||5||22c02544-42b9-47b3-9f54-67a07dafbd97|Lenovo Ideapad Y700. On UWS.
amii-laptop02|CSC247||Windows|10 Pro|laptop|zaiane|zaiane|604048|Core i7 6600U @ 2.6 GHz, 16 GB, 500 GB||196319660254||CLEAN|active|OK|||5||201217e9-93cc-408a-9b86-9d3a65f186f4|Microsoft Surface Book
amii1|CSC205|129.128.184.31|Linux|Ubuntu 16.04|regular||zaiane|704915|Dell OptiPlex 7050||F482HH2||NOP|active||||5||94c62e94-00de-454c-83a0-4bb0dd795881|
amiidemo|CSC205|129.128.184.131|Linux|Ubuntu 16.04|regular||zaiane||||||NOP|active||||5||676db487-d3f7-4d50-84e0-bbb29dfa3b4e|
amisk|GSB175|129.128.243.77|Linux|openSUSE 13.1|regular|dept|tst|537335|Dell PE R300||FMTZ3J1||CLEAN|active||T|F14|5|SA1|ecf18ade-55d7-4c6b-a41c-820846fbfad3|TST managed server
ammi40|ATH405||Windows|10|regular|||707571|Memory Express, Core i7, 7th gen||14273782S|||active||||5||135c66d2-0cd6-489a-a381-056aac677b39|Belongs to AMMI. Purchased March 2017.
ammi-emily|CSC363?|129.128.25.86|||regular||pierreb||Q9400/2.66GHz-4096||GS1000B09415009||NOP|missing||||5||b318c8ee-826b-453f-90bb-de218fb7ec3f|behind Walter's firewall?
ammi-fw|CSC329|129.128.184.4|OpenBSD|4.5|regular|pierreb|pierreb|586203|Poweredge R320||CNSWFX1||NOP|active|OK|||5||73707167-f98a-419b-abc0-b6840dbbddc9|Subnet 184
ammi-tr-ag|CSC363?|129.128.25.196|||regular||pierreb|474201|Q9400/3GHz-2048||37452||NOP|missing||||5||a47e5158-1080-445f-937e-7eaceab8431f|behind Walter's firewall?
amundson|CSC205|129.128.184.72|Linux|Ubuntu 14.04|regular||greiner||Cooler Master Custom PC||RC371KKN31151400274||NOP|spare||||5||d7cccbf9-bcbf-4e5b-9ee8-4c62f1b52e50|Needs U of A tag and proper room number.
ana|ATH430|129.128.184.140|Linux|Ubuntu 14.04|regular||mn,yannis|no-tag|E8400/3.0GHz-4096||5NTPWH1||NOP|active|OK|||5||dda11c07-004d-4430-abb4-a964aa6f3c19|Subnet 184
ana0|CSC245|129.128.184.1|Linux|NOP|regular|zaiane|zaiane|586184|||||NOP|active|OK|||5||eeeb59d8-5e5e-4041-91a6-c47f571a5b55|Wild West
ana1|CSC245|129.128.184.2|Linux|NOP|regular||zaiane|549754|Dell OptiPlex 990||5134JS1||NOP|active||||5||5b5c3671-0460-4007-a31b-143800175cb8|
andrew|ATH315|129.128.23.213|MacOS|10.5.8|regular||sutton,balaski|493097|iMac/1.83GHz-1024||W86330D3WRQ||CLEAN|active|OK|||5||537b85a4-c1eb-4404-9722-d437019f15c0|Not using our IDs.
anton-lake|CSC205|129.128.23.208|Linux|Scientific 4.4 (Beryllium)|regular||hasell,zaiane|456682|AMD/XP3000-2048||ACS04178||DIRTY|missing||||5||87705f05-1e49-411f-9572-cdf143236205|
anzac|CSC301||MacOS|10.13|regular|dept|dept|586221|iMac 21.5 A1418||C02JXRD6DNCR||CLEAN|active|OK|||5||d8e6026d-cec3-4bf4-9d6e-5dad85fdbe02|Connected to the Robotics Lab's internal network.
arcadia||129.128.23.204||||||||||||retired||||5||3b1b20bf-83dc-4963-b36a-73fd1a7b740c|Surplused
ard1|CSC323|129.128.184.76|Linux|Ubuntu 10.04 LTS (stand alone)|wildwest||stroulia|474596|P4/2.8GHz-2048 Dell OptiPlex GX270||8J05S41||NA|active||||5||7eb1fdc2-feff-40d7-b6b4-b4178e155889|Arduino Lab, User Supported
ard2|CSC323|129.128.184.77|Linux|Ubuntu 10.04 LTS (stand alone)|wildwest||stroulia|474248|P4/2.8GHz-2048 Dell OptiPlex GX270||JV05S41||NA|active||||5||8351ac42-7fef-40e2-936c-18005f7d3550|Arduino Lab, User Supported
ardmore||129.128.4.81||||||||||||retired||||5||a176864f-88d5-486c-b24a-bdb93147f4fd|
ardrossan|CSC205|129.128.23.77|Linux|WPS Ubuntu 16.04|regular|zaiane|zaiane||Core i7-7700||F484HH2||CLEAN|active|OK|||5||888abb09-5cb5-43bd-89f2-075787654755|
armena|ATH420|129.128.4.154|MacOS|10.6.4|regular|mesquita|Denilson||MacPro Xeon/2.66G-4096||G873022GUPZ||CLEAN|active|OK|||5||11e5bd3f-8033-4487-aef8-4eb14b9de980|
aspasia|ATH450|129.128.184.45|Windows|7|regular|serranos|stroulia||Q9550/2.83GHz-4096||ACS07025||NOP|active||||5||af1b855c-1981-4fab-ab88-1dee9c438c63|Moving to NAT
astotin|ATH207||MacOS|10.12|regular|dept|dept|586219|iMac 21.5 A1418||C02JXRFKDNCR||CLEAN|active|OK|||5||516a41c5-6534-4557-8200-c40795b2f55f|Loaned to Resul Das. On UWS.
atari|ATH338|129.128.23.138|||unknown|bulitko|bulitko||Xbox 360||||NOP|active||||5||277a337b-81f2-47ad-bb12-825ef1ab766f|
ath224-cpy|ATH224|129.128.23.61|||printer|ath224-cpy|tst||Xerox WorkCentre 5755||XEH488891||CLEAN|active||||5||08a87943-f0d2-4fbc-ac0a-337a4e774658|Printer
ath234-clr|ATH234|129.128.23.11|||printer|ath234-clr|tst,dept||HP Clr LJ 3600dn-128||CNTCH33614||CLEAN|active||||5||92ab65a8-6b34-4ef1-a915-46d28fe769a8|Printer
ath245-cpy|ATH245|129.128.23.62|||printer|ath245-cpy|tst||Xerox WorkCentre 5755||XEH488917||CLEAN|active||||5||b7ef5a21-ba3c-46da-9f1c-424286496783|Printer, FAX (780) 492-6393
ath326-cpy|ATH326|129.128.4.130|||printer|ath326-cpy|tst||Xerox WorkCentre 5755||XEH583587N||CLEAN|active||||5||7e490b5b-6b0c-451e-9548-ae87f1bffc35|Printer, FAX (780) 492-1071
ath427-cpy|ATH427|129.128.4.43|||printer|ath427-cpy|tst||Xerox WorkCentre 5755||XEH583557N||CLEAN|active||||5||b30eea22-b9cb-412a-9955-a9610f31745b|Printer
athlone|ATH220|129.128.16.195|MacOS|10.8|regular|dept|dept|586223|iMac 21.5 A1418||C02JXFLQDNCR||CLEAN|spare|OK|||5||aa0706f5-e53f-4133-ae23-943e522e7ece|
atikameg|ATH243|129.128.16.163|Windows|XP Pro|regular||dept,sunrose|528141|Dell OptiPlex 755:Core2/2.66-2048||ACS04836||CLEAN|active||||5||d311577d-2ea6-4716-869a-b47c15bde241|RDP
atlee|ATH335|129.128.23.46|MacOS|10.10|regular|dept|sadaf|586218|iMac 21.5 A1418||C02JXRAUDNCR||CLEAN|active|OK|||5||a5360616-4726-4996-a2ea-72088871f83a|Munki Installed.
atmore|CSC137|129.128.184.13|Linux|CentOS 6.7|regular||steve||||||NOP|active||||5||d18f594f-e2b5-4c72-bb1a-79c6a58625e5|
audet-lk|CSC351|129.128.25.122|MacOS|10.8|regular|zhang|||iMac 27 Model A1419||C02K82X3DNCV||CLEAN|active||||5||27c4640e-dab0-49f4-9784-586ce2d52042|
badden||129.128.23.221||||||||||||retired||||5||0c4b3dd1-9682-4824-80d3-e4c0af1cfc1a|
baranow||129.128.23.15||||||||||||retired||||5||70ca39da-9172-49cb-986b-a24ad720208f|
barich|CSC225|129.128.23.197|Windows|10|regular||lin,anup|361515|i7-4790,3600 16Gb||JD7VW52||CLEAN|active|OK|||5||527646fd-c6d6-45ed-aee7-9ac1e8c3d5a8|
barnegat|CSC327|129.128.25.138|Linux|Scientific 5.1 (Boron)|regular||dwishart||Q6600/2.4GHz-3072||PTS860X034802099802700||DIRTY|missing||||5||a651c120-0dbb-4230-8bd2-dd3e8ac41a2d|Users cannot find, probably retired or surplused in the past
barrhead|ATH419|129.128.4.39|MacOS|10.6.4|regular|wfb|wfb||||||CLEAN|active|OK|||5||a5183e5d-b70a-4125-b98f-3a8024d4fb33|
battle-riv|CSC225|129.128.184.24|Windows|7|regular||nrossol,anup|586182|Intel Quad Core i7 3.4GHz 8GB||BB0418||CLEAN|active|OK|||5||65fdef49-bce5-43de-8644-d41a5d26b5a4|Dual boot Windows & Linux
baytree|CSC363A?|129.128.25.161|Windows|2000 Pro|regular||wfb|411819|PIII||CPS04592||NOP|missing||||5||9a6ec145-e899-4da3-a360-e42c73a79eb8|On NAT
bbw-grid1|CSC363A|129.128.25.191|||network|BBW|pierreb||Switch||125-000-5413??||CLEAN|active||||5||d63d023e-dc54-4bbd-842d-796c4a74f610|Switch
bbw-grid2|CSC361|129.128.25.192|||network|BBW|pierreb||Switch||683-592-8117||CLEAN|active||||5||7c988084-b4d9-4470-a614-9d777cb2970e|Switch
bbw-grid3|CSC361|129.128.25.193|||network|BBW|pierreb||Switch||265-875-8772||CLEAN|active||||5||14281303-a0ae-4495-bc82-9a594352af24|Switch
bbw-grid4|CSC363A|129.128.25.194|||network|BBW|pierreb||Switch||serial??||CLEAN|active||||5||05e05309-4a53-4868-b126-9c74b8235fde|Switch
bbw-grid5|CSC363A|129.128.25.195|||network|BBW|pierreb||Switch||serial??||CLEAN|active||||5||6ced5a33-ee7a-4fed-b8a6-29e3887cec5d|Switch
bellis|CSC205|129.128.184.22|Linux|Ubuntu 18.04|regular|zaiane|zaiane|no-tag|Dell Vostro 430 i7/860/2.8-8192||9CQNPL1||NOP|active||||5||845931aa-1224-421a-856c-368d67cca66e|
bentley|ATH203|129.128.25.162|Linux|WPS Ubuntu 16.04|regular||ghlin|549720|Dell OptiPlex 990||5146JS1||CLEAN|active||||5||e8c53b4e-a0b5-433d-9d75-b6aa2007b1e8|
berwyn|cs353ptr|129.128.25.165|||alias|jag?|jag||Dell-1720dn||4F4F8D1||CLEAN|ipalias||||5||22837e6b-9817-4bb2-abfe-0bfb474f2893|Printer - CUPS printer vis
bezanson|CSC357|129.128.184.78|Linux|Ubuntu 10.04 LTS (stand alone)|wildwest|yifeng|paullu,ghlin||Dell XPS 8300 i7-2600@3.4GHZ-12288||3QCGLS1||NOP|active||||5||8ace78e6-973e-49e4-b26f-5f86df5f8c43|User Supported
bi-print-8620|CSC327|129.128.25.7|||printer||aguo||HP OfficeJet Pro 8620||CN559FK1DS||CLEAN|active|OK|||5||b5b06f42-b969-49fa-a992-e15398d5f98c|
bickerdike|ATH201|129.128.25.163|Linux|WPS Ubuntu 16.04|regular||ghlin||Acer Aspire AM3970-EB12P i7-2500@3.40GHz-8192||PTSHAP201715004BC49201||CLEAN|active||||5||5340557c-6431-4ca9-a575-9d3f0e444e88|
bighorn|CSC353|129.128.25.96|Linux|Fedora 13|regular|zichen2|jag|444197|Xeon X350qc-4096||serial-no||CLEAN|active||||5||6f35f525-7fbd-4e03-96ec-8d77dfac028c|Fedora 13 - different root password
bioqa|CSC327|129.128.184.61|||unknown|cknox,apon,jgrant2|dwishart||||||NOP|active||||5||3509981e-7878-4ee5-946f-df476b765f31|
bitumount|CSC351|129.128.25.104|Linux|Ubuntu 12.04|regular||mpolak,zhang|512157|P4/3.4GHz-1024||0ACS05466||CLEAN|retired||||5||bde9bcd1-c17f-4a6e-ab78-2e60d86d2f92|
blackfoot|CSC217|129.128.184.6|Linux|Ubuntu 16.04|regular|cgao3|hayward||i77700-32768||ACS0538||NOP|active||||5||a73e0019-e147-441c-9928-a8f65d7e6694|Stuphen built,serial number is from old case,user installed OS
blogs-dev|launch-dev|129.128.22.149|Linux|Slackware 12.2.0|alias|dept|tst||||||CLEAN|retired||||5||992cbfe3-28f1-47c7-b27f-643847cd0468|
bmiserver|ATH123|129.128.184.20|Windows||regular||ziqi2|588738|Intel Core i7 3770||04130400037|||active||||5||0c6d9bb9-13b2-4f37-b0bb-e1bddb57dcd5|We do not manage or maintain
bodo1|ATH337?|129.128.4.119|Linux|Fedora 7 (Moonshine)|regular||mburo||MB-AMD/MP2400-1024||serial||DIRTY|missing||||5||b9db1d6d-08b1-4f25-803a-ad0baf436a2c|
boian|ATH419|129.128.184.44|||unknown|wfb|wfb||EeeBoxEB1006-1024||90PEAB009974||NOP|active||||5||e7c0e0e3-b313-4c22-9367-b8f28e3965b5|On wildwest
bonanza|GSB175|129.128.21.39|Linux|WPS Ubuntu 16.04|regular|dept|dept|586214|Silicon Mechanics 2xXeon E5-2630,256GB,12x300GB Raid 6||SM80374||CLEAN|active|||F15|5||a827bb3b-708f-4387-b88d-ce1d2973fc08|
bondiss|CSC353|129.128.25.52|Linux|Fedora 13|regular|zichen2|jag|448715|AMD Opt170/2GHz-1926||ACS03808||NOP|active||||5||33d3398d-5de9-46a5-ae49-bb2c479ff33f|Fedora 13 - different root password
bon-accord|CSC327|129.128.25.80|Windows|10|regular||dwishart||Dell Vostro 460 i5-2400@3.1GHz-8192||8DN3DP1||CLEAN|active||||5||2a167341-4cd6-43d2-8d9c-85d31624b70f|
botha1|CSC251A|129.128.184.7|Linux|CentOS 5.5|regular||paullu||PE2950/5150-8192||636ZMF1||NOP|active||||5||b705df29-a0e2-4da6-8dfe-f88d42e3eb4e|on wildwest;
botha1|CSC329||Linux|RHEL WS 3 (Taroon Update 2)|regular||paullu|474740|Sun V20z Opteron/DP248-2048||XG043057933||NA|missing|||E|5||c76abda6-7758-4c40-97ce-5419e1fc07e3|Powered off; Steve will move and cluster
botha10|CSC251A|129.128.22.140|Linux|Fedora Core 6 (Zod)|unknown||paullu|508544|PE2950/5150-8192||HKK9QC1||CLEAN|active|OK|||5||e642ffab-24b8-491f-8ad7-0fc5b207e051|Steve handled
botha10-new|GSB175|129.128.243.12|Linux|Fedora Core 6 (Zod)|unknown||paullu|508544|PE2950/5150-8192||HKK9QC1||CLEAN|active|OK|||5||8d76b01c-23cc-43ec-bd12-9addfa83eba8|Steve handled
bowden|CSC211|129.128.159.251|Linux|openSUSE 13.2|regular||bulitko|586216|i7-950@3,7GHz-6144||||CLEAN|active||||5||02ebb1b0-0796-43fc-89d7-52dcbeb8d988|Moved to 159 TASK0295943
bowhay|CSC211|129.128.23.29|Linux|Ubuntu 14.04|regular|bowling|bowling|524807|AMD/DC4800-2048||14011622P||CLEAN|retired||||5||d0d97593-b1e3-4cf4-bd82-cb8c170e4587|being surplussed
boyne|CSC211|129.128.23.27|Linux|Ubuntu 14.04|regular||bulitko|586254|i5-4670@3.4 8196||14195708p||NOP|active|OK|||5||2e4349c2-4b16-411d-b0a4-53f40a070175|standalone on NAT
braeburn-uws-nat|CSC205||||||hasell,zaiane|no-tag|||9CPTOL1||NOP|missing||||5||138074db-2303-4c6e-a951-ae7bed448631|on UWS now; in transition to NAT
braeburn|CSC205|129.128.23.12|Windows|7|regular||hasell,zaiane||Dell Vostro 430 i7 860@2.8GHz-4096||9CPSPL1||CLEAN|active||||5||6b150c07-39f4-4085-8e66-b4f2ab6375a3|
brazeau|SRIT proxmox|129.128.21.237|Linux|WPS Ubuntu 16.04|virtual||jonathan||VM||||CLEAN|active||||5|SRIT|aee35726-5f9f-4175-9b0d-3edd263ea375|
bremmer||129.128.23.117||||||||||||retired||||5||0eeb8687-a831-4011-a43c-35ddb6cb60b6|
breton||129.128.25.14|Windows|XP - 64 bit|regular||pierreb||X5560-12288||9368144-51775||NA|missing||||5||a385d71f-1f86-43d5-8630-f022e3d68ed7|Missing? last reported in CSC365, which doesn't exist
breynat|CSC311|129.128.25.170|Linux|Scientific 5.0 (Boron)|regular||ghlin,paullu||AcerQC8200/2.33-8192||PTSC..1235D2701||NOP|active||||5||326e1665-2cee-4780-bcf1-3efc3290b8d0|
brownfield||129.128.25.106||||||||||||retired||||5||6d2f4ac3-867b-4d78-863e-32cc6371a902|
brule|CSC329|129.128.23.114|Linux|RHEL Server 5.11|regular||paullu|497707|Opteron/244-2048||ACS05264||CLEAN|active||T|F|5|SRIT|a8ec3379-0b2b-4b88-939e-021871b581dc|RHN# 1017919347
bucklake|CSC353|129.128.25.128|Linux|Ubuntu 14|regular|zichen2|jag||Core2-quad/2.4-4096||2209159||CLEAN|active||||5||451338a1-3208-4d11-bb56-a4960e404715|
busby3|CSC251A|129.128.22.33|Linux|Ubuntu 12.04|regular||paullu,dwishart|510063|Opteron/DP250-4096||ACS05761||CLEAN|retired||||5||76273e73-6a03-46c4-bc7b-c302bdb4b74f|
busby4|CSC251A|129.128.22.34|Linux|Ubuntu 12.04|regular||paullu,dwishart|510064|Opteron/DP250-4096||ACS05764||CLEAN|retired||||5||713b1a2a-e243-4880-8722-b0646212e76e|
busby9|CSC251A|129.128.22.141|Linux|Fedora Core 6 (Zod)|unknown||paullu,dwishart|508557|Core2/5160-8192||serial-no||CLEAN|active|OK|||5||05b608b3-5f7f-4857-be3e-2cb43529386c|Steve handled
cadogan||129.128.23.220||||||||||||retired||||5||5e66b79b-22be-4a95-86ac-449c016b8a2b|
cadotte|GSB175|129.128.21.241|Linux|WPS Ubuntu 16.04|regular||bulitko||Opteron/DP246-6144||ACS04728||CLEAN|active|||F14|5|SA1|662fcb83-5200-4328-a1e3-91a2adcfb73a|
calmar|ATH452|129.128.23.13|Windows|7|regular|guana|stroulia||Dell 8100 i5/3.2-8122||B2J5LM1||NOP|active|OK|||5||e17890ef-36ef-46d1-961b-385a0201a3ef|
calumet-lk|CSC351|129.128.25.120|MacOS|10.8|regular||rmaiti||iMac 27 Model A1419||C02K8A7KDNCV||CLEAN|active||||5||83177412-8012-4faa-bd44-183fc6f45831|
cambria||129.128.23.145||||||||||||retired||||5||9fc1027b-d7ca-4d8d-95f9-250dcd4f746e|
caneta|ATH451|129.128.4.23|MacOS|10.11.3|regular|denilson|denilson||Quad-Core Intel Xeon E5 - 32GB||F5KR407RF9VN|||active||||5||fa4f8fd5-e5b7-4950-930e-aacb19f785a4|
carcajou|ATH232|129.128.184.55|MacOS|10.5|regular||dept|221067|Mac 6100/66||XC4502D741Y||CLEAN|active||||5||fd567e76-8e99-4c63-b114-6bf77d47509b|administered by Facilities
card|CSC205||Linux|Ubuntu 14.04|regular||hasell,zaiane|543292|Dell D540/Q9400@2.66 GHz-8GB||8FS5WK1||NOP|active||||5||3abbb446-6f92-450d-ae7e-f1384cf0cbb2|On NAT
carvel||129.128.23.151||||||||||||retired||||5||1c1cfc0a-1a7b-499a-b238-05d283f12fce|
ccis|CSC329|129.128.22.30|Linux|Fedora Core 5|regular||steve||||||DIRTY|missing|||F|5||7a4a4732-34b6-449a-8470-19f8898f5fbb|Steve will handle; powered off; will be rebuilt or moved to subnet 159
charcot|CSC329|129.128.184.50||||||||||||active|||C|||cd9f68db-1567-4e6a-aee0-7dd890a2e840|one of Sutphen's?
chard|CSC315A|129.128.25.100|Windows|7|regular||||Athlon 64 Dual 4400+/2.2GHz-4096||ACS05774|||active||||5||44e1e47d-c662-4ad5-9cff-a2887e82a9be|Hot Spare
chauvin|CSC329|129.128.184.91|Linux|Ubuntu 12.04|regular|gkondrak|gkondrak|469353|Xeon E5-1650v2-32768||ACS04596||NOP|active|||D|5||a5741e75-4bb0-4fec-8888-456d092ae50b|
checkmylab|IST VM|129.128.21.208|Linux|Ubuntu 16.04|virtual|||NA|VM||||CLEAN|active||||5|SA1|f7a229da-50bd-4688-a7d2-f98ed6e2f87f|CMPUT 401 project astep-ish
checkmylabtest|IST VM|129.128.21.209|Linux|Ubuntu 16.04|virtual|||NA|VM||||CLEAN|active||||5|SA1|bc8d8ead-9314-46ce-92c2-c1b8e8112c4b|CMPUT 401 project astep-ish submission testing
cherhill|CSC311|129.128.4.55|Linux|Ubuntu 10.04 LTS|regular|ghlin|ghlin|468224|AMD MP2400-2048||ACS04305||CLEAN|missing||||5||6e25663c-d008-45c9-b978-696b2898c5e1|
chinook-c01|CSC329||||cluster||steve||||||NOP|missing|||B|5||bc3d21a2-2165-4860-beb1-d9c770c35918|Steve to check
chinook-c02|CSC329||||cluster||steve||||||NOP|missing|||B|5||cbf6a106-888d-47ae-a75b-d43c5765ec96|Steve to check
chinook-c03|CSC329||||cluster||steve||||||NOP|missing|||B|5||408f6283-9021-4238-93bf-bf9e23bf52d2|Steve to check
chinook-c04|CSC329||||cluster||steve||||||NOP|missing|||B|5||f4300f6c-493f-4c77-aab5-814cb8b5153d|Steve to check
